"Year","NY","VT","NH","ME","Total"
"2012","6740 (1905)","2864 (713)","4130 (1637)","6619 (2021)","20353 (6276)"
"2013","8617 (2900)","4478 (963)","5876 (2473)","8193 (2452)","27164 (8788)"
"2014","9744 (2930)","3209 (695)","5676 (3514)","6834 (1944)","25463 (9083)"
"2015","8347 (2839)","3216 (708)","7671 (4298)","6269 (2526)","25503 (10371)"
"2016","9044 (2937)","6088 (1142)","6688 (3728)","6864 (3462)","28684 (11269)"
"2017","6853 (2041)","2409 (566)","6177 (3810)","6298 (3128)","21737 (9545)"
"Total","49345 (15552)","22264 (4787)","36218 (19460)","41077 (15533)","148904 (55332)"
