"","tag","freq","prop","pct"
"1","sky",13622,0.478619865781244,1
"2","tree",12712,0.446646287902744,0.999580008399832
"3","",11072,0.38902357612171,0.999160016799664
"4","wilderness",9350,0.328519728751625,0.998740025199496
"5","water",8149,0.286321633111978,0.998320033599328
"6","mountain",8117,0.28519728751625,0.99790004199916
"7","mountainous landforms",6207,0.218087909771266,0.997480050398992
"8","nature",5838,0.205122799620533,0.997060058798824
"9","rock",4988,0.175257369734022,0.996640067198656
"10","ridge",4863,0.170865394750711,0.996220075598488
"11","plant",4567,0.160465197990232,0.99580008399832
"12","cloud",4513,0.158567864797442,0.995380092398152
"13","highland",4216,0.148132532237096,0.994960100797984
"14","vegetation",3790,0.133164681493974,0.994540109197816
"15","nature reserve",3728,0.130986261902252,0.994120117597648
"16","hill",3377,0.118653596149116,0.99370012599748
"17","body of water",3010,0.105758757598117,0.993280134397312
"18","mountain range",2979,0.104669547802256,0.992860142797144
"19","grass",2788,0.0979586100277573,0.992440151196976
"20","ecosystem",2744,0.096412634833632,0.992020159596808
"21","leaf",2695,0.0946909806401743,0.99160016799664
"22","sea",2630,0.0924071536488528,0.991180176396472
"23","path",2590,0.0910017216541935,0.990760184796304
"24","winter",2550,0.0895962896595341,0.990340193196136
"25","reflection",2397,0.0842205122799621,0.989920201595968
"26","forest",2350,0.0825691296862373,0.9895002099958
"27","snow",2338,0.0821475000878395,0.989080218395632
"28","outdoor recreation",2236,0.0785636485014581,0.988660226795464
"29","lake",2162,0.0759635993113383,0.988240235195296
"30","river",2115,0.0743122167176136,0.987820243595128
"31","shore",2076,0.0729419205228207,0.98740025199496
"32","coast",2072,0.0728013773233548,0.986980260394792
"33","woody plant",2057,0.0722743403253575,0.986560268794624
"34","geological phenomenon",2056,0.072239204525491,0.986140277194456
"35","fell",1907,0.0670039703453849,0.985720285594288
"36","adventure",1855,0.0651769087523277,0.98530029399412
"37","loch",1841,0.064685007554197,0.984880302393952
"38","woodland",1759,0.0618038719651453,0.984460310793784
"39","recreation",1747,0.0613822423667475,0.984040319193616
"40","stream",1709,0.0600470819718211,0.983620327593448
"41","fun",1607,0.0564632303854397,0.98320033599328
"42","vacation",1551,0.0544956255929166,0.982780344393112
"43","freezing",1495,0.0525280208003935,0.982360352792944
"44","watercourse",1433,0.0503496012086715,0.981940361192776
"45","ocean",1385,0.0486630828150803,0.981520369592608
"46","trail",1328,0.0466603422226907,0.98110037799244
"47","horizon",1314,0.0461684410245599,0.980680386392272
"48","hill station",1268,0.0445521942307017,0.980260394792104
"49","mount scenery",1209,0.0424791820385791,0.979840403191936
"50","water resources",1207,0.0424089104388461,0.979420411591768
"51","coastal and oceanic landforms",1164,0.0408980710445873,0.9790004199916
"52","atmosphere",1107,0.0388953304521977,0.978580428391432
"53","geology",1095,0.0384737008537999,0.978160436791264
"54","road",1092,0.0383682934542005,0.977740445191096
"55","vehicle",1058,0.03717367625874,0.977320453590928
"56","landscape",1051,0.0369277256596746,0.97690046199076
"57","creek",1024,0.0359790590632796,0.976480470390592
"58","house",921,0.0323600716770317,0.976060478790424
"59","waterway",919,0.0322898000772988,0.975640487190256
"60","fauna",879,0.0308843680826394,0.975220495590088
"61","atmosphere of earth",843,0.029619479287446,0.97480050398992
"62","morning",832,0.0292329854889147,0.974380512389752
"63","terrain",813,0.0285654052914515,0.973960520789584
"64","hiking",809,0.0284248620919855,0.973540529189416
"65","wood",798,0.0280383682934542,0.973120537589248
"66","wildlife",791,0.0277924176943888,0.97270054598908
"67","flora",787,0.0276518744949229,0.972280554388912
"68","sports",781,0.027441059695724,0.971860562788744
"69","autumn",773,0.0271599732967921,0.971440571188576
"70","tourism",746,0.026211306700397,0.971020579588408
"71","beach",739,0.0259653561013316,0.97060058798824
"72","branch",705,0.0247707389058712,0.970180596388072
"73","reservoir",688,0.024173430308141,0.969760604787904
"74","car",687,0.0241382945082745,0.969340613187736
"75","waterfall",661,0.0232247637117459,0.968920621587568
"76","promontory",627,0.0220301465162854,0.9685006299874
"77","photography",615,0.0216085169178876,0.968080638387232
"78","sport venue",611,0.0214679737184217,0.967660646787064
"79","shrubland",610,0.0214328379185552,0.967240655186896
"80","biome",602,0.0211517515196233,0.966820663586728
"81","ice",601,0.0211166157197569,0.96640067198656
"82","phenomenon",582,0.0204490355222937,0.965980680386392
"83","leisure",581,0.0204138997224272,0.965560688786224
"84","dog like mammal",572,0.0200976775236288,0.965140697186056
"85","wetland",563,0.0197814553248305,0.964720705585888
"86","grassland",561,0.0197111837250975,0.96430071398572
"87","boat",560,0.019676047925231,0.963880722385552
"88","transport",550,0.0193246899265662,0.963460730785384
"89","bedrock",542,0.0190436035276343,0.963040739185216
"90","team sport",533,0.0187273813288359,0.962620747585048
"91","bird",532,0.0186922455289695,0.961990760184796
"92","dog",532,0.0186922455289695,0.961990760184796
"93","old growth forest",523,0.0183760233301711,0.961360772784544
"94","girl",516,0.0181300727311057,0.960940781184376
"95","field",513,0.0180246653315063,0.960520789584208
"96","rural area",511,0.0179543937317733,0.96010079798404
"97","home",499,0.0175327641333755,0.959680806383872
"98","water feature",498,0.017497628333509,0.959260814783704
"99","black and white",492,0.0172868135343101,0.958840823183536
"100","night",487,0.0171111345349777,0.958420831583368
"101","national park",469,0.016478690137381,0.957790844183116
"102","spruce fir forest",469,0.016478690137381,0.957790844183116
"103","soil",464,0.0163030111380486,0.957160856782864
"104","outcrop",458,0.0160921963388497,0.956740865182696
"105","ball game",444,0.0156002951407189,0.956110877782444
"106","infrastructure",444,0.0156002951407189,0.956110877782444
