"theme","count","prop"
"scenery",88635,0.596
"people",16002,0.108
"biota",11548,0.078
"structures",11127,0.075
"transport",10873,0.073
"aquatics",3691,0.025
"food/dining",2634,0.018
"sports",1665,0.011
"dogs",1620,0.011
"arts",756,0.005
"equestrian",233,0.002
