"","tag","freq","prop","pct"
"1","tree",62662,0.420009115770283,1
"2","sky",54056,0.362325057643841,0.999808355691836
"3","water",38294,0.256675961177543,0.999616711383672
"4","plant",28491,0.19096868464797,0.999425067075508
"5","wilderness",25124,0.168400450426296,0.999233422767344
"6","nature",24841,0.166503565874846,0.99904177845918
"7","mountain",19462,0.130449353852753,0.998850134151016
"8","cloud",18359,0.123056196042683,0.998658489842852
"9","grass",18172,0.121802777628827,0.998466845534688
"10","fun",15134,0.101439755482868,0.998275201226524
"11","vegetation",14303,0.0958697517293153,0.998083556918359
"12","nature reserve",14188,0.0950989329186551,0.997891912610195
"13","mountainous landforms",13937,0.0934165370797362,0.997700268302031
"14","leaf",13563,0.0909097002520242,0.997508623993867
"15","rock",12858,0.0861842458040646,0.997316979685703
"16","winter",12722,0.0852726687758057,0.997125335377539
"17","body of water",12629,0.084649310955011,0.996933691069375
"18","recreation",11947,0.0800780202691833,0.996742046761211
"19","lake",11680,0.0782883800739986,0.996550402453047
"20","reflection",11672,0.0782347578958657,0.996358758144883
"21","sea",11568,0.0775376695801383,0.996167113836719
"22","highland",11512,0.0771623143332082,0.995975469528555
"23","snow",11398,0.0763981982948147,0.995783825220391
"24","river",11304,0.0757681377017534,0.995592180912227
"25","ecosystem",11187,0.0749839133465601,0.995400536604063
"26","vehicle",11140,0.0746688830500295,0.995208892295899
"27","house",10327,0.069219529197276,0.995017247987735
"28","woody plant",9859,0.0660826317765028,0.994825603679571
"29","ridge",9753,0.0653721379162422,0.994633959371407
"30","path",9749,0.0653453268271757,0.994442315063243
"31","forest",9541,0.063951150195721,0.994250670755079
"32","loch",8644,0.0579387634725723,0.994059026446915
"33","woodland",8221,0.0551034908037965,0.99386738213875
"34","waterway",8005,0.0536556919942088,0.993675737830586
"35","hill",7959,0.0533473644699448,0.993484093522422
"36","vacation",7914,0.0530457397179473,0.993292449214258
"37","horizon",7387,0.0495133787334441,0.993100804906094
"38","car",7309,0.0489905624966486,0.99290916059793
"39","freezing",7121,0.047730441310526,0.992717516289766
"40","mountain range",6859,0.0459743149766744,0.992525871981602
"41","geological phenomenon",6782,0.0454582015121454,0.992334227673438
"42","shore",6715,0.0450091157702826,0.992142583365274
"43","coast",6608,0.0442919191377554,0.99195093905711
"44","road",6539,0.0438294278513593,0.991759294748946
"45","water resources",6222,0.0417046490428441,0.991567650440782
"46","wood",6117,0.0410008579548501,0.991376006132618
"47","home",6082,0.0407662609255188,0.991184361824454
"48","atmosphere",5948,0.0398680894417931,0.99099271751629
"49","girl",5938,0.039801061719127,0.990801073208126
"50","stream",5843,0.0391642983537991,0.990609428899962
"51","watercourse",5772,0.0386884015228699,0.990417784591798
