"year","ME","NH","NY","VT","Total"
"2012",2021,1637,1905,713,6276
"2013",2452,2473,2900,963,8788
"2014",1944,3514,2930,695,9083
"2015",2526,4298,2839,708,10371
"2016",3462,3728,2937,1142,11269
"2017",3128,3810,2041,566,9545
"Total",15533,19460,15552,4787,55332
