"year","ME","NH","NY","VT","Total"
"2012",2,2,2,2,8
"2013",2,2,2,2,8
"2014",2,2,2,2,8
"2015",2,2,2,2,8
"2016",2,2,2,2,8
"2017",2,2,2,2,8
"Total",12,12,12,12,48
