"tag","cluster","eigen_centrality","betweenness","closeness","degree.res","degree.centralization","degree.theoretical_max","theme"
"paddle",3,0.00773412207668254,846.28075566384,0.000130106687483737,62,0.377733628095018,7433802,"aquatics"
"passenger ship",3,0.00763430403559074,837.228983924206,0.000125754527162978,71,0.377733628095018,7433802,"aquatics"
"inflatable boat",3,0.00627571192570759,359.716465095755,0.000126903553299492,44,0.377733628095018,7433802,"aquatics"
"yacht",3,0.00582797119383487,1959.68880092076,0.000136109976861304,100,0.377733628095018,7433802,"aquatics"
"fishing vessel",3,0.00495655062191587,424.187014247,0.000119574315437044,55,0.377733628095018,7433802,"aquatics"
"port",3,0.00483016090809603,844.87394805767,0.000125533517449159,70,0.377733628095018,7433802,"aquatics"
"tall ship",3,0.0045345886005816,310.738171754104,0.000133102622121656,63,0.377733628095018,7433802,"aquatics"
"wakeboarding",3,0.00434732509828145,91.4757692468471,0.000120076849183477,35,0.377733628095018,7433802,"aquatics"
"towed water sport",3,0.00418430052138015,17.0195217384092,0.000110975474420153,38,0.377733628095018,7433802,"aquatics"
"picnic boat",3,0.00413785191926836,502.573586935605,0.000125849484017116,57,0.377733628095018,7433802,"aquatics"
"waterskiing",3,0.00383953823691921,58.5290602413302,0.000118539592223803,32,0.377733628095018,7433802,"aquatics"
"mast",3,0.00345215025767772,332.110426734335,0.000131995776135164,79,0.377733628095018,7433802,"aquatics"
"rowing",3,0.00343964105363843,46.8237333280397,0.000113739763421292,35,0.377733628095018,7433802,"aquatics"
"cargo ship",3,0.00325102925150739,189.99726323736,0.000115874855156431,34,0.377733628095018,7433802,"aquatics"
"freight transport",3,0.00323407976635657,1836.58177863608,0.000131943528169943,90,0.377733628095018,7433802,"aquatics"
"fish",11,0.00323063064498913,3050.46124551255,0.000142694063926941,157,0.377733628095018,7433802,"aquatics"
"skiff",3,0.00320791360320032,810.906446059649,0.000134264232008593,54,0.377733628095018,7433802,"aquatics"
"bulk carrier",3,0.00317004474130331,198.010476058732,0.00012131505519835,37,0.377733628095018,7433802,"aquatics"
"personal flotation device",3,0.0031322892956107,158.622596400987,0.000127811860940695,47,0.377733628095018,7433802,"aquatics"
"tank ship",3,0.00311276804315817,143.756157037173,0.000118948495301534,34,0.377733628095018,7433802,"aquatics"
"container ship",3,0.00295348259791368,19.7280987252207,0.00010901558922926,30,0.377733628095018,7433802,"aquatics"
"dinghy sailing",3,0.00292673525888055,115.786006391963,0.000119932837610938,30,0.377733628095018,7433802,"aquatics"
"bass",11,0.00290183876712535,198.836779226436,0.000131769666622743,68,0.377733628095018,7433802,"aquatics"
"surfing equipment and supplies",3,0.00281611721695771,641.065664576562,0.000135703623286742,71,0.377733628095018,7433802,"aquatics"
"tugboat",3,0.00274009134857468,456.375248491793,0.000123243776189302,45,0.377733628095018,7433802,"aquatics"
"lifejacket",3,0.00260916741801243,160.960095034716,0.000132890365448505,41,0.377733628095018,7433802,"aquatics"
"schooner",3,0.00254138602080789,67.8130802253418,0.000116577290743763,38,0.377733628095018,7433802,"aquatics"
"scow",3,0.0023450661921061,117.214485097813,0.000120772946859903,29,0.377733628095018,7433802,"aquatics"
"angling",11,0.00228116437927897,170.551949124142,0.000129971406290616,37,0.377733628095018,7433802,"aquatics"
"fisherman",11,0.00214732892865272,501.534631680919,0.000129165590286748,51,0.377733628095018,7433802,"aquatics"
"rafting",3,0.00204990356073766,80.8814217352434,0.000117938436136337,28,0.377733628095018,7433802,"aquatics"
"panamax",3,0.00195547990785567,2.33637383505508,0.000106826193782716,23,0.377733628095018,7433802,"aquatics"
"fishing rod",11,0.00169624881847678,1221.56252936864,0.000134498991257566,62,0.377733628095018,7433802,"aquatics"
"yawl",3,0.00138250615554487,3731.07495407141,0.00012779552715655,42,0.377733628095018,7433802,"aquatics"
"crew",3,0.00121826840867669,302.24339399593,0.000130924325739722,36,0.377733628095018,7433802,"aquatics"
