"year","ME","NH","NY","VT","Total"
"2012",6619,4130,6740,2864,20353
"2013",8193,5876,8617,4478,27164
"2014",6834,5676,9744,3209,25463
"2015",6269,7671,8347,3216,25503
"2016",6864,6688,9044,6088,28684
"2017",6298,6177,6853,2409,21737
"Total",41077,36218,49345,22264,148904
