"year","ME","NH","NY","VT","Total"
"2012",4598,2493,4835,2151,14077
"2013",5741,3403,5717,3515,18376
"2014",4890,2162,6814,2514,16380
"2015",3743,3373,5508,2508,15132
"2016",3402,2960,6107,4946,17415
"2017",3170,2367,4812,1843,12192
"Total",25544,16758,33793,17477,93572
